,City Name,Country Code,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
358,novochernorechenskiy,ru,-3.36,66,12,3.87,56.27,91.08
359,ilulissat,gl,-14,65,75,6.2,69.22,-51.1
360,mount gambier,au,27.72,43,0,1.07,-37.83,140.78
361,yarada,in,26.64,100,0,3.47,17.65,83.27
362,clyde river,ca,-20,83,90,1.5,70.47,-68.59
363,fernie,ca,-4,79,40,2.1,49.5,-115.06
364,adzope,ci,23.49,94,0,3.22,6.11,-3.86
365,mathathane,bw,19.07,74,0,1.42,-22.27,28.75
366,sri aman,my,26,88,75,1,1.24,111.46
367,san jose,gt,23.52,42,0,2.97,16.98,-89.9
368,tha mai,th,29,89,20,1.5,12.62,102.01
369,oranjestad,aw,27,78,40,6.2,12.52,-70.03
370,hami,cn,6.24,50,0,4.32,42.84,93.51
371,husavik,is,-3,100,90,2.6,66.04,-17.34
372,zubtsov,ru,-10.86,78,80,4.02,56.17,34.59
373,dourbali,td,21.02,30,8,3.02,11.81,15.86
374,beidao,cn,4.17,100,48,2.52,34.57,105.89
375,kodiak,us,1,74,90,8.7,39.95,-94.76
376,hosanagara,in,23.89,77,0,1.22,13.92,75.07
377,sakaiminato,jp,7,48,75,11.3,35.55,133.23
378,durban,za,24.52,100,92,1.72,-29.86,31.03
379,bumba,cd,21.89,96,12,1.42,2.18,22.47
380,denpasar,id,26.64,90,48,0.97,-8.65,115.22
381,naze,jp,19,72,75,9.8,28.37,129.48
382,umm lajj,sa,18.54,92,0,1.87,25.02,37.27
383,belaya glina,ru,0.32,91,92,6.67,46.08,40.86
384,presidente medici,br,24.29,95,36,1.22,-11.18,-61.9
385,sobolevo,ru,-6.01,90,92,4.92,54.43,31.9
386,lazarev,ru,-12.84,65,0,4.92,52.23,141.51
387,aleksandrovka,ru,-14.44,81,32,4.32,51.63,41.9
388,terrace bay,ca,-9.69,88,56,6.92,48.78,-87.1
389,emerald,au,29.82,55,80,7.27,-23.53,148.16
390,labytnangi,ru,-9.36,85,88,9.32,66.66,66.39
391,sosnovo-ozerskoye,ru,-17.76,68,0,1.47,52.53,111.54
392,cape canaveral,us,20.4,45,75,4.1,28.41,-80.6
393,oranjemund,na,17.62,96,92,7.57,-28.55,16.43
394,vestmanna,fo,-3,86,56,2.6,62.16,-7.17
395,sur,om,21.07,100,0,1.97,22.57,59.53
396,mailsi,pk,19.82,64,0,1.12,29.8,72.18
397,vaitape,pf,27.64,100,80,2.72,-16.52,-151.75
398,golspie,gb,2.4,100,90,0.5,57.97,-3.98
399,kurchum,kz,2.22,98,92,9.12,48.57,83.65
400,swan hill,au,25.07,72,0,3.87,-35.34,143.56
401,mozarlandia,br,25.42,77,24,2.22,-14.74,-50.57
402,pechenga,ru,-21.36,58,44,1.37,58.89,41.46
403,eten,pe,24,64,75,2.6,-6.91,-79.86
404,walvis bay,na,17,82,12,2.1,-22.95,14.51
405,inndyr,no,-6,62,0,9.8,67.03,14.03
406,santa cruz,cr,26,61,0,5.1,10.26,-85.58
407,saint-pierre,pm,1,80,75,16.5,46.77,-56.17
408,roald,no,-7.16,73,24,3.6,62.58,6.12
409,padampur,in,19.82,68,0,1.32,29.71,73.62
410,san-pedro,ci,24.67,95,0,2.67,4.75,-6.64
411,roebourne,au,36.12,28,0,2.22,-20.77,117.15
412,souillac,mu,26,83,40,5.1,-20.52,57.52
413,shu,kz,2.27,100,92,3.07,43.6,73.76
414,nome,us,12.46,58,1,2.1,30.04,-94.42
415,hit,iq,14.62,34,56,3.02,33.64,42.83
416,angol,cl,13.32,80,0,1.52,-37.8,-72.71
417,haapiti,pf,30,66,40,6.7,-17.57,-149.87
418,benito juarez,mx,18.24,30,0,4.87,28.64,-111.57
419,isaka,tz,15.89,95,64,1.52,-3.91,32.95
420,verkhnetulomskiy,ru,-28,68,0,1,68.61,31.8
421,geraldton,ca,-12,78,90,5.1,49.72,-86.95
422,innisfail,au,23.49,95,92,1.62,-17.52,146.03
423,dingle,ie,6.89,96,64,8.92,52.14,-10.27
424,paoua,cf,22.22,43,68,4.92,7.24,16.43
425,nuuk,gl,-9,85,75,3.1,64.17,-51.74
426,shaoguan,cn,15.77,100,92,1.32,24.81,113.59
427,viljoenskroon,za,14.57,99,56,1.52,-27.21,26.95
428,poyarkovo,ru,-9.79,51,0,2.47,49.62,128.65
429,corinto,ni,25.62,43,0,4.62,12.48,-87.17
430,zirandaro,mx,26.14,37,0,2.32,18.45,-100.98
431,kraluv dvur,cz,0.33,97,90,4.1,49.95,14.03
432,san cristobal,ec,16.57,100,92,0.82,-1.02,-79.44
433,tautira,pf,30,66,40,6.7,-17.73,-149.15
434,inhambane,mz,25.24,97,88,2.47,-23.87,35.38
435,poronaysk,ru,-11.46,82,8,4.92,49.22,143.1
436,moose factory,ca,-8,92,90,4.1,51.26,-80.61
437,coquimbo,cl,17,77,90,1,-29.95,-71.34
438,meiktila,mm,27.29,62,0,2.22,20.88,95.86
439,penalva,br,26.02,85,76,2.12,-3.29,-45.17
440,billings,us,-4,79,20,1.5,45.79,-108.5
441,vanimo,pg,28.39,100,12,8.37,-2.67,141.3
442,kingori,tz,20,94,75,4.1,-3.38,37.02
443,kavalerovo,ru,-10.46,45,0,1.42,44.27,135.06
444,hovd,mn,-9.44,83,32,1.27,48.01,91.64
445,kalabo,zm,17.97,77,0,1.27,-15,22.67
446,huarmey,pe,17.62,78,0,1.22,-10.07,-78.15
447,taltal,cl,10.14,97,0,0.87,-25.41,-70.49
448,vila velha,br,28,78,40,3.6,-3.71,-38.6
449,roma,au,22.39,93,80,5.37,-26.57,148.79
450,nenjiang,cn,-11.26,75,20,2.22,49.17,125.23
451,neryungri,ru,-19.74,46,24,4.82,56.66,124.71
452,nara,ml,20.02,29,0,3.87,15.17,-7.29
453,goose creek,us,6.8,56,90,4.6,38.32,-85.65
454,hashtrud,ir,3.47,79,0,4.02,37.48,47.05
455,sangar,ru,-26.19,45,0,1.77,63.92,127.47
